,Angle
321,-0.07948037327804577
322,-0.05396421374650104
323,-0.03318100668564024
324,-0.03318100668564024
325,-0.010993457997570042
326,0.011860679878530404
327,0.03639293632931057
328,0.05875782540753051
329,0.07972854432383242
330,0.10540608110991959
331,0.12512225607484104
332,0.14491883822286358
333,0.1678544777554118
334,0.18615895042561406
335,0.2074744780220351
336,0.2241523617487417
337,0.23951726815907626
338,0.25690642814948544
339,0.25690642814948544
340,0.270253394063593
341,0.2846503844946499
342,0.2955465369532561
343,0.3053331769953672
344,0.31561275540507205
345,0.3221395491617863
346,0.3289165083429477
347,0.3325758795718334
348,0.334746759027034
349,0.33580466576898466
350,0.33580621244841613
351,0.3356053893653588
352,0.3349651834415971
353,0.33364176361168707
354,0.33364176361168707
355,0.3313171239014851
356,0.32672785321217257
357,0.31832087020448835
358,0.308629607133259
359,0.29688528991081176
360,0.2815103185652143
361,0.2674620078916543
362,0.24926034071566722
363,0.23317074768017657
364,0.21579652944975633
365,0.1978669638076703
366,0.17601525101220536
367,0.15623178383022124
368,0.13169432299358066
369,0.11146305820862851
370,0.11146305820862851
371,0.09081773094246971
372,0.06462012913760048
373,0.04212275151609548
374,0.020703499979821655
375,-0.000956468728945654
376,-0.026905544132389884
377,-0.047875079295161035
378,-0.0735228958236271
379,-0.09422711943280938
380,-0.11706708954698908
381,-0.1360785172918583
382,-0.155012038518539
383,-0.155012038518539
384,-0.17899927761888004
385,-0.1953056649718195
386,-0.2124974889917941
387,-0.2311153340148968
388,-0.2464519967967565
389,-0.2628716685736067
390,-0.2784397943099342
391,-0.2901960592453323
392,-0.30241408330370173
393,-0.31154484571716856
394,-0.3195167113142082
395,-0.32788319281939776
396,-0.33330929880186677
397,-0.3365257605995779
398,-0.3388672436927833
399,-0.3388672436927833
400,-0.33924947793182586
401,-0.33923501534384265
402,-0.3390021901853514
403,-0.3379380938948063
404,-0.3362630717250477
405,-0.3330172008746546
406,-0.3272367327078513
407,-0.31698570765467066
408,-0.3065376652417484
409,-0.29499950552684906
410,-0.279086440342814
411,-0.264891261901415
412,-0.24719051993547683
413,-0.22745821637102834
414,-0.22745821637102834
415,-0.21037113829228996
416,-0.19295947164325006
417,-0.17474324121877668
418,-0.15022655284446304
419,-0.1303801950817273
420,-0.11156429608169537
421,-0.08698206617913087
422,-0.0659648797374901
423,-0.044581173496101384
424,-0.01892443535698752
425,0.002804171285994374
426,0.023703088113763586
427,0.04937281500205469
428,0.07075364109261317
429,0.09714492573564636
430,0.09714492573564636
431,0.11665956952974985
432,0.14066137674037815
433,0.15999824918351405
434,0.17906169471049677
435,0.2003361032079509
436,0.21704397111282606
437,0.23311373617820394
438,0.25070657863385115
439,0.2643972828396679
440,0.27965112234452133
441,0.2913352812132384
442,0.3010856830652034
443,0.3120899012286975
444,0.3120899012286975
445,0.3194773770027749
446,0.3266526519763321
447,0.33104851889100184
448,0.3342001442645997
449,0.33545093227047573
450,0.3356337866368973
451,0.33548766846615935
452,0.3350838878711426
453,0.3337785134963572
454,0.33154553293626077
455,0.3264028450133426
456,0.31954151123317714
457,0.31954151123317714
458,0.3104506115365454
459,0.29644537200648147
460,0.2836915629295087
461,0.26708777584581656
462,0.2519719195389772
463,0.23586798657114247
464,0.21908370626384038
465,0.20134425717455817
466,0.17912072967367879
467,0.15949363622639368
468,0.13524516723983393
469,0.1150469947563756
470,0.09493381419624008
471,0.06836581597684495
472,0.04658206139059094
473,0.04658206139059094
474,0.024715519692906338
475,0.004811863595565371
476,-0.022353892021544093
477,-0.04329417637491588
478,-0.06436176222092373
479,-0.08950947376844273
480,-0.10934044016790392
481,-0.12750335283104322
482,-0.146677341163151
483,-0.16995776845063126
484,-0.18862899834265742
485,-0.2044520568665079
486,-0.2249345036376175
487,-0.23914725001114412
488,-0.2560071225100266
489,-0.2727015152809423
490,-0.28517704609418526
491,-0.28517704609418526
492,-0.2979578758730794
493,-0.30734650630631644
494,-0.3160022489333332
495,-0.32472460583392654
496,-0.3308293804940448
497,-0.334772564304861
498,-0.3376583661287212
499,-0.3385574469530724
500,-0.338581307192781
501,-0.3384500975590872
502,-0.3380026376133469
503,-0.33672538184820494
504,-0.3339106457417562
505,-0.32932947505386784
506,-0.3219829564782783
507,-0.3219829564782783
508,-0.3127886142472958
509,-0.29931305535105984
510,-0.2842505144513105
511,-0.2703652686934065
512,-0.2505985059834213
513,-0.23321308398641102
514,-0.21806650694053992
515,-0.19611772637220803
516,-0.17860697021693586
517,-0.15357308642614578
518,-0.13422059834921635
519,-0.11477571856602667
520,-0.11477571856602667
521,-0.09151032695616289
522,-0.07016057083427371
523,-0.048922068268190254
524,-0.023226468180224513
525,-0.0016994770534539648
526,0.020003609956516098
527,0.045256873860586855
528,0.06678169013572446
