,Angle
0,3.0106943839430342
1,3.0106943839430342
2,3.0106943839430342
3,0.33621736742811115
4,0.33621736742811115
5,0.33621736742811115
6,0.3258068333439307
7,0.3179546877618275
8,0.30883615596501235
9,0.297756514507626
10,0.28202518111157854
11,0.28202518111157854
12,0.26884183000512135
13,0.2540176754383896
14,0.2341276619962845
15,0.2178984187822343
16,0.19999148835890787
17,0.18031404787508662
18,0.15542807721004756
19,0.1357805106047623
20,0.1171184057990186
21,0.09216705842103282
22,0.0706497477870531
23,0.049402219100547255
24,0.027828817403210988
25,0.005827605683296849
26,0.01983015947698102
27,0.04189555931288344
28,0.04189555931288344
29,0.06413732875411092
30,0.09011539628942386
31,0.11058237200762376
32,0.1343964518904369
33,0.15393003198460636
34,0.17303191054430817
35,0.19459270598312134
36,0.21210093676411237
37,0.22838643977906395
38,0.2432180704527872
39,0.2604822882403701
40,0.2739581003011184
41,0.2857217551227781
42,0.2965774946314981
43,0.30782624702107825
44,0.31601629170325224
45,0.31601629170325224
46,0.322308938641515
47,0.3287718728387014
48,0.3320304499403918
49,0.334152391556807
50,0.33499254364615755
51,0.33499045023802376
52,0.33477373369255303
53,0.33388402567652503
54,0.33242301096564564
55,0.3297104404996928
56,0.32391615330319845
57,0.3164845044634775
58,0.306467399682304
59,0.292185094929666
60,0.2791807399089954
61,0.2791807399089954
62,0.2648060414657823
63,0.24580955330378612
64,0.23011853899141366
65,0.20959868775208315
66,0.19109988581738738
67,0.17225023178626525
68,0.1481658772674044
69,0.12738839070219896
70,0.10699151356795787
71,0.08148412464057152
72,0.06005636573868487
73,0.03746276807668273
74,0.015670616926189932
75,0.010844940884861418
76,0.03242861604453515
77,0.03242861604453515
78,0.057425360438397965
79,0.07974825337225991
80,0.10061536342442898
81,0.12002576687501927
82,0.14236762896080252
83,0.16189198522996057
84,0.1820351274242848
85,0.19792158116900394
86,0.2172981693246719
87,0.23293792088954735
88,0.25116076247452035
89,0.2653302587929741
90,0.27741195647445427
91,0.29143111598045374
92,0.30177368960017975
93,0.30177368960017975
94,0.31222988385759626
95,0.3193294483880153
96,0.3260649647317454
97,0.3315661064372344
98,0.3358117475843342
99,0.33806599257624276
100,0.33838579869956154
101,0.3383428851448565
102,0.33809394990539565
103,0.3373280415119953
104,0.335254091965153
105,0.3321018069373659
106,0.3265752615783537
107,0.3169611898990041
108,0.30741701484092177
109,0.2960168942453174
110,0.2960168942453174
111,0.2803778663960197
112,0.2665564085851073
113,0.24705226872911168
114,0.23111766787947088
115,0.21357552073485406
116,0.19418594816681467
117,0.17579593865008192
118,0.15546776933546846
119,0.13108249942857159
120,0.11330135571727648
121,0.09187958041792511
122,0.0662295913764372
123,0.045330070069066544
124,0.045330070069066544
125,0.019218384524915425
126,0.004597622972226102
127,0.024455934060170735
128,0.050838153190607104
129,0.07236601979856476
130,0.09434645928326045
131,0.11807956531680934
132,0.1380154514808644
133,0.15747763404754184
134,0.17666299040573888
135,0.19828482803741782
136,0.21521564254543307
137,0.23454759757275867
138,0.24907650563122055
139,0.26275214644638223
140,0.2785819756276884
141,0.2785819756276884
142,0.28996273133758604
143,0.30020464255429763
144,0.31132274502137053
145,0.31867431034301325
146,0.3245904054830071
147,0.3293732584396719
148,0.33299989370845323
149,0.3345015410611742
150,0.33486524065388196
151,0.33479320013168395
152,0.3344607479519625
153,0.33353339310866087
154,0.3313533881447156
155,0.32809003539492676
156,0.3223722528881616
157,0.3223722528881616
158,0.31290359940849105
159,0.30182187612362027
160,0.2869381445417615
161,0.27334684686776944
162,0.2582570679817098
163,0.24279369806661133
164,0.22299350318888275
165,0.20566657378514344
166,0.18667301711763573
167,0.1636456397395964
168,0.14325550159757314
169,0.12343893053562156
170,0.09850262987978006
171,0.07700423229601243
172,0.0551753068135342
173,0.03280620720356753
174,0.03280620720356753
175,0.007860875320445097
176,0.015991150953011568
177,0.0420139642607833
178,0.06323812248786329
179,0.08446084846079072
180,0.1059786592638486
181,0.12811415105806775
182,0.1480120617519138
183,0.17052261655469392
184,0.1898873378691613
185,0.20485359224377614
186,0.22524637068044856
187,0.2393360187678041
188,0.25491016499242164
189,0.27145341060239686
190,0.27145341060239686
191,0.28306486345829407
192,0.29438769656334896
193,0.30591527287268727
194,0.3142069362989832
195,0.32145628007823274
196,0.32769180165484013
197,0.3336781974786693
198,0.3365208830344427
199,0.33817559878423004
